Hotel Name,Country,Image URL,Image Source,Description,Rating,Price per night (USD)
Hilton,Singapore,hilton.jpg,Trip Advisor,"Hilton Singapore Orchard is a new and inspiring landmark hotel for the brand in Singapore and the region. It is the largest Hilton hotel in the Asia Pacific, set in the heart of Singapore's Orchard Road shopping and entertainment district. Restaurants and medical centers are nearby, two subway stations are in walking distance, with connections to Marina Bay, and Changi Airport is 25 minutes away. This extensively renovated hotel offers over 1,080 rooms and suites, five innovative dining options which are award-winning, Michelin-starred and helmed by celebrity chefs. Over 2,438 square metres of flexible event spaces across 16 versatile event venues that are ideal for any occasions from large-sized MICE events to mid-sized business seminars, weddings and social celebrations. Hilton Singapore Orchard also offers two 24-hour fully equipped fitness centres, an outdoor pool and an immediate proximity to a spot of retail indulgence with the hotel directly connected to a four-storey high shopping gallery of luxury fashion boutiques, restaurants, lifestyle and entertainment.",4.5,254
Marina Bay Sands,Singapore,marina.jpg,Veena World,"Marina Bay Sands is an integrated resort located at the Bayfront Subzone in Downtown Core. It is one of the many integrated resorts under the US-Based company Las Vegas Sands Corporation. At the time of its opening, Marina Bay Sands was said to be the most expensive standalone casino in the world. Now, it is one of the best tourist attractions in Singapore. Lakhs of people visit Singapore visit only to visit the Marina Bay Sands. The architecture of Marina Bay Sands is what truly sets it apart. It includes 3 tall towers that are wider at the bases and narrower towards the top, and all of them are connected at the top with a plane construction. This construction at the top is called the Infinity Pool, it’s a rooftop pool located at the height of 198m, from where you can see beautiful Singapore at night. Mosh Safdie, the architect of Marina Bay Sands, says that decks of cards were his inspiration behind the design. And there are plans to add a fourth tower in the near future as well. If you are planning to visit Singapore, Marina Bay Sands is a place that you must have on your list. It has more than 2500 rooms, and you can book yours easily and enjoy the luxury that this resort offers.",4.6,582
Chanalai Garden Resort,Thailand,chanalai-garden-resort.jpg,Trip Advisor,"Chanalai Garden Resort is 2 minutes walk from the Kata Beach. Overlooking the Andaman Sea, Chanalai Garden Resort is located along Kata Beach in Phuket. It features 2 outdoor pools, 2 pool bars, a fitness center and 2 on-site restaurants. Rooms at Chanalai Garden Resort are decorated in a modern Thai style. Each room is equipped with a 42-inch flat screen TV, a fully-stocked mini-bar and an individually controlled air conditioner. The private bathroom is fitted with a bath or shower, complimentary toiletries and fluffy towels. They each come with a private balcony which overlooks the sea or the resort’s tropical garden. Facilities available at Chanalai Garden Resort includes an air-conditioned Kid’s Club fitted with toys. Adults can get a good workout at the fully-equipped fitness room which features floor-to-ceiling windows with a section featuring sea views.",4.5,34
DoubleTree by Hilton Taipei Zhongshan,Taiwan,double-tree.jpg,Trip Advisor,"Experience the charm, warmth and genuine service of DoubleTree by Hilton Taipei Zhongshan. Situated in the city center, close to the financial and business districts. Our modern design features a glass facade building and unique wood fossil art in the lobby. We’ll greet you at check-in with a warm DoubleTree Chocolate Chip Cookie.",4.5,209
Atlantis The Palm,Dubai United Arab Emirates (UAE),atlantis-the-palm.jpg,Trip Advisor,"Atlantis, The Palm is a 1,544-room ocean-themed destination resort. Spectacularly situated on the crescent of Dubai's iconic Palm Island. With views across Dubai’s iconic skyline and Arabian sea, this majestic resort offers unique rooms and unforgettable experiences for everyone. From the moment you arrive, you will be immersed in new experiences that you could have never even imagined. Thrill-seekers can enjoy complimentary access to Aquaventure Waterpark, the world's largest waterpark, during their stay. Also voted as TripAdvisor’s No.1 waterpark with over 105 attractions. Guests can make the most of Dubai's endless sunshine and spend their days by the pool or relaxing on a pristine private beach. Amaze yourself as you gaze at 65,000 incredible marine animals at The Lost Chambers Aquarium which brings the myth of Atlantis to life through a maze of underground tunnels. Foodies can indulge in 32 restaurants and bars; nowhere else in the world will you find so many celebrity chef and award-winning restaurants in one destination. Those looking to relax can pamper themselves at the award-winning ShuiQi Spa, with luxurious treatments and word-class facilities. Visit Dubai’s most iconic resort and experience a world away from your everyday.",4.5,505
Hard Rock Hotel,Malaysia,hard-rock.jpeg,Hard Rock Hotel Penang,"Get your trip off to a great start with a stay at this property, which offers free Wi-Fi in all rooms. Conveniently situated in the Desaru Beachfront part of Desaru, this property puts you close to attractions and interesting dining options. Don't leave before paying a visit to the famous Nelayan Seafood by the Coast. Rated with 5 stars, this high-quality property provides guests with access to massage, restaurant and fitness center on-site.",4.3,132
Warsaw Mariott Hotel,Poland,marriott-hotel.jpg,Trip Advisor,"Located in the heart of Poland’s capital city, Warsaw Marriott Hotel offers not only easy access to all major sightseeing attractions and financial district but mostly elegant and comfortable interiors. Our luxury city center hotel in Warsaw offers 523 beautifully appointed rooms, including 95 suites, Concierge level and shopping area. In each room, guest will find new bed from Marriott, with down comforters, designer duvets and amenities like tea and coffee maker, spacious work area and Wi-Fi in rooms. The hotel is also a home to chic shopping gallery and tempting dining options, including the Panorama Sky Bar located on 40th floor with magnificent views over Warsaw. The local fitness center provides state of the art equipment for a thorough workout and swimming pool. For business and social events, Warsaw Marriott Hotel offers over 2,600 sq. m. of flexible meeting and exhibition venue including 21 meeting rooms.",4.5,109
Heron Live Hotel,Poland,heron-live.jpg,Trip Advisor,"Heron Live Hotel is a place full of the elements and the energy which we derive from nature - from the neighboring mountains, peaceful forest, and the element of water. Located in Malopolska (Lesser Poland), in the village of Sienna, Heron Live Hotel offers a combination of a tasteful hotel, an exclusive spa, and a high-class venue for business events.",4.5,183
The Tower Hotel,London,tower-hotel.jpg,Booking.com,"The Tower Hotel is nestled between the River Thames, St Katharine Docks and alongside the World Heritage Site, the Tower of London, boasting unparalleled views of the iconic Tower Bridge. Our location and excellent choice of transport connections put you at the centre of this vibrant city, making it quick, convenient and most importantly, easy to experience the very best of what London has to offer.",4.1,174
La Mamounia Marrakech,Morocco,mamounia.jpg,Trip Advisor,"La Mamounia, a symbol of traditional Moroccan hospitality, is located in the heart of the imperial city, nestled in a 17 acre park, 5 minutes walk from the Jemaa El Fna square, La Mamounia will remain the place for worldwide celebrities. DESCRIPTION The Moroccan legendary palace has been redesigned by an internationally acclaimed designer, Jacques Garcia, combining a true Moroccan style and ambiance with new technologies. With its luxurious decorations, fabulous gardens and its trendy 2500sq m SPA, la Mamounia guarantees the amazement of its guests. ACCOMODATION 136 rooms (30 to 45 Sq m) 71 Suites including 7 Signature suites (55 to 212 Sq m) 3 Riads each with 3 bedrooms, Moroccan salons, private swimming pool, terraces... (700 Sq m)",4.5,983
